ID,State,Name,Category,Income,Qualification,Eligible Courses,Preference,Minimum Qualification,Description,Type,Award Amount,Duration,Application Deadline,Selection Process
448,Gujarat,Innovation Agriculture Scholarship by Tata Foundation,SEBC,1000000,HSC,Diploma,the General category,87% in Class 12 or equivalent,Innovation Agriculture Scholarship by Tata Foundation provides financial assistance to students in SEBC category. The award amount is INR 138534 per year.,Government,INR 138534,3 years,23th August 2025,Not Specified (likely Need-Based)
449,Assam,Diversity Agriculture Scholarship by Dr. APJ Abdul Kalam Foundation,ST,500000,Ph.D.,Graduation,the ST category,81% in Class 12 or equivalent,Diversity Agriculture Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in ST category. The award amount is INR 12807 per year.,Government,INR 12807,4 years,26th August 2025,Not Specified (likely Need-Based)
450,Uttarakhand,Development Entrepreneurship Scholarship by JNU Research,Minority,1000000,Post-Graduation,HSC,the Minority category,84% in Class 12 or equivalent,Development Entrepreneurship Scholarship by JNU Research provides financial assistance to students in Minority category. The award amount is INR 117071 per year.,Private,INR 117071,3 years,28th July 2025,Not Specified (likely Need-Based)
451,Delhi,Innovation STEM Scholarship by IIT Foundation,Minority,250000,Engineering,Post-Graduation,the Minority category,74% in Class 12 or equivalent,Innovation STEM Scholarship by IIT Foundation provides financial assistance to students in Minority category. The award amount is INR 114750 per year.,Private,INR 114750,3 years,8th September 2025,Not Specified (likely Need-Based)
452,Jharkhand,Youth Agriculture Scholarship by Mahatma Gandhi Trust,SEBC,750000,Ph.D.,Post-Graduation,the Minority category,67% in Class 12 or equivalent,Youth Agriculture Scholarship by Mahatma Gandhi Trust provides financial assistance to students in SEBC category. The award amount is INR 96224 per year.,Private,INR 96224,3 years,22th August 2025,Not Specified (likely Need-Based)
453,Kerala,Research Entrepreneurship Scholarship by Bharti Enterprises,all,1500000,Diploma,Medical,the all category,75% in Class 12 or equivalent,Research Entrepreneurship Scholarship by Bharti Enterprises provides financial assistance to students in all category. The award amount is INR 102783 per year.,Corporate,INR 102783,4 years,6th August 2025,Not Specified (likely Need-Based)
454,Karnataka,Excellence Agriculture Scholarship by Ambani Institute,Minority,750000,Engineering,Ph,the SC category,86% in Class 12 or equivalent,Excellence Agriculture Scholarship by Ambani Institute provides financial assistance to students in Minority category. The award amount is INR 95597 per year.,Corporate,INR 95597,4 years,12th August 2025,Not Specified (likely Need-Based)
455,Punjab,Youth Medical Scholarship by Bharti Enterprises,SC,500000,Ph.D.,Medical,the SC category,81% in Class 12 or equivalent,Youth Medical Scholarship by Bharti Enterprises provides financial assistance to students in SC category. The award amount is INR 30737 per year.,Corporate,INR 30737,1 years,28th September 2025,Not Specified (likely Need-Based)
456,Tamil Nadu,Leadership STEM Scholarship by Indian Government,ST,250000,HSC,Diploma,the OBC category,74% in Class 12 or equivalent,Leadership STEM Scholarship by Indian Government provides financial assistance to students in ST category. The award amount is INR 18128 per year.,International,INR 18128,1 years,2th July 2025,Not Specified (likely Need-Based)
457,Maharashtra,Youth Law Scholarship by Indian Science Society,SEBC,750000,Ph.D.,HSC,the EWS category,90% in Class 12 or equivalent,Youth Law Scholarship by Indian Science Society provides financial assistance to students in SEBC category. The award amount is INR 80395 per year.,Private,INR 80395,2 years,6th September 2025,Not Specified (likely Need-Based)
458,Karnataka,Sustainability Arts Scholarship by Indian Government,OBC,750000,Diploma,HSC,the all category,64% in Class 12 or equivalent,Sustainability Arts Scholarship by Indian Government provides financial assistance to students in OBC category. The award amount is INR 95077 per year.,Private,INR 95077,3 years,29th August 2025,Not Specified (likely Need-Based)
459,Madhya Pradesh,Empowerment Economics Scholarship by IIT Foundation,SC,750000,Ph.D.,Ph,the ST category,64% in Class 12 or equivalent,Empowerment Economics Scholarship by IIT Foundation provides financial assistance to students in SC category. The award amount is INR 39571 per year.,International,INR 39571,1 years,2th July 2025,Not Specified (likely Need-Based)
460,Tamil Nadu,Innovation Social Sciences Scholarship by Tata Foundation,ST,250000,Medical,Medical,the General category,58% in Class 12 or equivalent,Innovation Social Sciences Scholarship by Tata Foundation provides financial assistance to students in ST category. The award amount is INR 27871 per year.,Private,INR 27871,2 years,4th August 2025,Not Specified (likely Need-Based)
461,Assam,Youth Social Sciences Scholarship by Indian Education Trust,SC,750000,HSC,Diploma,the SC category,53% in Class 12 or equivalent,Youth Social Sciences Scholarship by Indian Education Trust provides financial assistance to students in SC category. The award amount is INR 68163 per year.,Government,INR 68163,2 years,25th June 2025,Not Specified (likely Need-Based)
462,Rajasthan,Leadership Social Sciences Scholarship by Mahatma Gandhi Trust,SC,1500000,Engineering,Diploma,the SEBC category,54% in Class 12 or equivalent,Leadership Social Sciences Scholarship by Mahatma Gandhi Trust provides financial assistance to students in SC category. The award amount is INR 43233 per year.,NGO,INR 43233,4 years,28th August 2025,Not Specified (likely Need-Based)
463,Odisha,Merit Arts Scholarship by Bharti Enterprises,ST,1000000,Diploma,Graduation,the EWS category,51% in Class 12 or equivalent,Merit Arts Scholarship by Bharti Enterprises provides financial assistance to students in ST category. The award amount is INR 36751 per year.,Private,INR 36751,3 years,19th September 2025,Not Specified (likely Need-Based)
464,Andhra Pradesh,Innovation Medical Scholarship by Bharti Enterprises,all,1500000,HSC,Medical,the ST category,70% in Class 12 or equivalent,Innovation Medical Scholarship by Bharti Enterprises provides financial assistance to students in all category. The award amount is INR 80482 per year.,Private,INR 80482,3 years,14th September 2025,Not Specified (likely Need-Based)
465,Jharkhand,Empowerment Engineering Scholarship by Bharti Enterprises,all,1500000,Diploma,Diploma,the ST category,80% in Class 12 or equivalent,Empowerment Engineering Scholarship by Bharti Enterprises provides financial assistance to students in all category. The award amount is INR 141279 per year.,Corporate,INR 141279,4 years,26th June 2025,Not Specified (likely Need-Based)
466,Uttar Pradesh,Merit STEM Scholarship by Tata Foundation,SEBC,500000,Graduation,Ph,the OBC category,67% in Class 12 or equivalent,Merit STEM Scholarship by Tata Foundation provides financial assistance to students in SEBC category. The award amount is INR 125822 per year.,International,INR 125822,2 years,24th August 2025,Not Specified (likely Need-Based)
467,Karnataka,Development Economics Scholarship by Ambani Institute,EWS,750000,Engineering,Diploma,the Minority category,86% in Class 12 or equivalent,Development Economics Scholarship by Ambani Institute provides financial assistance to students in EWS category. The award amount is INR 93985 per year.,Government,INR 93985,2 years,27th June 2025,Not Specified (likely Need-Based)
468,Bihar,Excellence Arts Scholarship by Indian Education Trust,EWS,1000000,Engineering,Engineering,the Minority category,55% in Class 12 or equivalent,Excellence Arts Scholarship by Indian Education Trust provides financial assistance to students in EWS category. The award amount is INR 8768 per year.,Private,INR 8768,4 years,19th June 2025,Not Specified (likely Need-Based)
469,Uttar Pradesh,Sustainability Arts Scholarship by Bharti Enterprises,SEBC,500000,Diploma,Post-Graduation,the General category,77% in Class 12 or equivalent,Sustainability Arts Scholarship by Bharti Enterprises provides financial assistance to students in SEBC category. The award amount is INR 118302 per year.,International,INR 118302,2 years,7th June 2025,Not Specified (likely Need-Based)
470,Punjab,Diversity Economics Scholarship by Mahatma Gandhi Trust,Minority,0,Post-Graduation,Ph,the ST category,54% in Class 12 or equivalent,Diversity Economics Scholarship by Mahatma Gandhi Trust provides financial assistance to students in Minority category. The award amount is INR 80561 per year.,International,INR 80561,3 years,23th June 2025,Not Specified (likely Need-Based)
471,West Bengal,Global Entrepreneurship Scholarship by Tata Foundation,OBC,750000,Medical,Diploma,the all category,76% in Class 12 or equivalent,Global Entrepreneurship Scholarship by Tata Foundation provides financial assistance to students in OBC category. The award amount is INR 134373 per year.,Private,INR 134373,4 years,16th July 2025,Not Specified (likely Need-Based)
472,West Bengal,Sustainability Medical Scholarship by IIT Foundation,General,500000,Diploma,Post-Graduation,the OBC category,53% in Class 12 or equivalent,Sustainability Medical Scholarship by IIT Foundation provides financial assistance to students in General category. The award amount is INR 72602 per year.,International,INR 72602,1 years,10th June 2025,Not Specified (likely Need-Based)
473,Uttar Pradesh,Development Social Sciences Scholarship by Ambani Institute,SEBC,1000000,Medical,Diploma,the SC category,80% in Class 12 or equivalent,Development Social Sciences Scholarship by Ambani Institute provides financial assistance to students in SEBC category. The award amount is INR 10205 per year.,Government,INR 10205,3 years,10th September 2025,Not Specified (likely Need-Based)
474,Odisha,Research Agriculture Scholarship by IIT Foundation,Minority,1500000,Post-Graduation,Diploma,the General category,61% in Class 12 or equivalent,Research Agriculture Scholarship by IIT Foundation provides financial assistance to students in Minority category. The award amount is INR 143373 per year.,NGO,INR 143373,3 years,29th August 2025,Not Specified (likely Need-Based)
475,Madhya Pradesh,Empowerment Law Scholarship by IIT Foundation,General,500000,Graduation,Medical,the SC category,60% in Class 12 or equivalent,Empowerment Law Scholarship by IIT Foundation provides financial assistance to students in General category. The award amount is INR 116738 per year.,Private,INR 116738,1 years,9th September 2025,Not Specified (likely Need-Based)
476,Jharkhand,Diversity Arts Scholarship by JNU Research,SC,0,Medical,Graduation,the General category,71% in Class 12 or equivalent,Diversity Arts Scholarship by JNU Research provides financial assistance to students in SC category. The award amount is INR 27540 per year.,International,INR 27540,3 years,12th August 2025,Not Specified (likely Need-Based)
477,Delhi,Global Law Scholarship by Indian Government,all,250000,Diploma,Medical,the all category,72% in Class 12 or equivalent,Global Law Scholarship by Indian Government provides financial assistance to students in all category. The award amount is INR 45740 per year.,International,INR 45740,2 years,22th August 2025,Not Specified (likely Need-Based)
478,Andhra Pradesh,Excellence Literature Scholarship by Ambani Institute,Minority,0,Engineering,Engineering,the Minority category,55% in Class 12 or equivalent,Excellence Literature Scholarship by Ambani Institute provides financial assistance to students in Minority category. The award amount is INR 141038 per year.,Private,INR 141038,3 years,5th September 2025,Not Specified (likely Need-Based)
479,West Bengal,Merit Engineering Scholarship by Tata Foundation,SEBC,1000000,Engineering,Medical,the ST category,65% in Class 12 or equivalent,Merit Engineering Scholarship by Tata Foundation provides financial assistance to students in SEBC category. The award amount is INR 145300 per year.,Corporate,INR 145300,3 years,25th August 2025,Not Specified (likely Need-Based)
480,Uttar Pradesh,Development Social Sciences Scholarship by Indian Government,all,1000000,Post-Graduation,Diploma,the SC category,57% in Class 12 or equivalent,Development Social Sciences Scholarship by Indian Government provides financial assistance to students in all category. The award amount is INR 53854 per year.,Government,INR 53854,4 years,17th July 2025,Not Specified (likely Need-Based)
481,Chhattisgarh,Research Medical Scholarship by Mahatma Gandhi Trust,all,500000,Post-Graduation,Post-Graduation,the SC category,65% in Class 12 or equivalent,Research Medical Scholarship by Mahatma Gandhi Trust provides financial assistance to students in all category. The award amount is INR 104842 per year.,International,INR 104842,3 years,4th July 2025,Not Specified (likely Need-Based)
482,Jharkhand,Merit Literature Scholarship by Mahatma Gandhi Trust,SC,1000000,Post-Graduation,Ph,the Minority category,68% in Class 12 or equivalent,Merit Literature Scholarship by Mahatma Gandhi Trust provides financial assistance to students in SC category. The award amount is INR 110210 per year.,Corporate,INR 110210,4 years,29th June 2025,Not Specified (likely Need-Based)
483,Delhi,Sustainability Economics Scholarship by Bharti Enterprises,General,0,Post-Graduation,HSC,the SEBC category,88% in Class 12 or equivalent,Sustainability Economics Scholarship by Bharti Enterprises provides financial assistance to students in General category. The award amount is INR 32685 per year.,Private,INR 32685,4 years,28th July 2025,Not Specified (likely Need-Based)
484,Kerala,Merit Social Sciences Scholarship by Bharti Enterprises,Minority,0,Ph.D.,Medical,the SC category,53% in Class 12 or equivalent,Merit Social Sciences Scholarship by Bharti Enterprises provides financial assistance to students in Minority category. The award amount is INR 63788 per year.,International,INR 63788,3 years,10th July 2025,Not Specified (likely Need-Based)
485,Uttar Pradesh,Excellence Arts Scholarship by Mahatma Gandhi Trust,all,250000,HSC,Medical,the General category,58% in Class 12 or equivalent,Excellence Arts Scholarship by Mahatma Gandhi Trust provides financial assistance to students in all category. The award amount is INR 38964 per year.,Corporate,INR 38964,4 years,3th June 2025,Not Specified (likely Need-Based)
486,Madhya Pradesh,Diversity Arts Scholarship by Indian Science Society,SC,750000,Diploma,Medical,the SC category,78% in Class 12 or equivalent,Diversity Arts Scholarship by Indian Science Society provides financial assistance to students in SC category. The award amount is INR 113842 per year.,Private,INR 113842,1 years,1th September 2025,Not Specified (likely Need-Based)
487,Andhra Pradesh,Global Engineering Scholarship by Bharti Enterprises,OBC,750000,Ph.D.,Diploma,the SC category,74% in Class 12 or equivalent,Global Engineering Scholarship by Bharti Enterprises provides financial assistance to students in OBC category. The award amount is INR 147095 per year.,Government,INR 147095,4 years,16th September 2025,Not Specified (likely Need-Based)
488,Assam,Empowerment Economics Scholarship by Ambani Institute,Minority,500000,Ph.D.,Ph,the ST category,57% in Class 12 or equivalent,Empowerment Economics Scholarship by Ambani Institute provides financial assistance to students in Minority category. The award amount is INR 132170 per year.,NGO,INR 132170,3 years,28th July 2025,Not Specified (likely Need-Based)
489,Bihar,Excellence Entrepreneurship Scholarship by Dr. APJ Abdul Kalam Foundation,OBC,1000000,Graduation,Diploma,the SEBC category,85% in Class 12 or equivalent,Excellence Entrepreneurship Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in OBC category. The award amount is INR 21115 per year.,Private,INR 21115,2 years,2th August 2025,Not Specified (likely Need-Based)
490,Karnataka,Global Entrepreneurship Scholarship by Indian Education Trust,SC,1500000,Diploma,Medical,the ST category,70% in Class 12 or equivalent,Global Entrepreneurship Scholarship by Indian Education Trust provides financial assistance to students in SC category. The award amount is INR 73046 per year.,Private,INR 73046,1 years,27th July 2025,Not Specified (likely Need-Based)
491,Madhya Pradesh,Merit Medical Scholarship by JNU Research,General,1500000,Ph.D.,Engineering,the ST category,68% in Class 12 or equivalent,Merit Medical Scholarship by JNU Research provides financial assistance to students in General category. The award amount is INR 45330 per year.,Private,INR 45330,3 years,25th July 2025,Not Specified (likely Need-Based)
492,Rajasthan,Community Engineering Scholarship by Bharti Enterprises,ST,1000000,Graduation,Ph,the OBC category,83% in Class 12 or equivalent,Community Engineering Scholarship by Bharti Enterprises provides financial assistance to students in ST category. The award amount is INR 61668 per year.,NGO,INR 61668,3 years,17th September 2025,Not Specified (likely Need-Based)
493,West Bengal,Community Arts Scholarship by Indian Education Trust,all,250000,Medical,Post-Graduation,the all category,70% in Class 12 or equivalent,Community Arts Scholarship by Indian Education Trust provides financial assistance to students in all category. The award amount is INR 108333 per year.,International,INR 108333,1 years,27th August 2025,Not Specified (likely Need-Based)
494,Odisha,Community Economics Scholarship by Indian Education Trust,OBC,1000000,Ph.D.,Graduation,the OBC category,90% in Class 12 or equivalent,Community Economics Scholarship by Indian Education Trust provides financial assistance to students in OBC category. The award amount is INR 76482 per year.,Government,INR 76482,3 years,7th September 2025,Not Specified (likely Need-Based)
495,Punjab,Research STEM Scholarship by Tata Foundation,OBC,1000000,Graduation,Graduation,the all category,73% in Class 12 or equivalent,Research STEM Scholarship by Tata Foundation provides financial assistance to students in OBC category. The award amount is INR 95104 per year.,International,INR 95104,2 years,20th July 2025,Not Specified (likely Need-Based)
496,Odisha,Excellence Social Sciences Scholarship by JNU Research,ST,500000,Ph.D.,Medical,the SEBC category,72% in Class 12 or equivalent,Excellence Social Sciences Scholarship by JNU Research provides financial assistance to students in ST category. The award amount is INR 56478 per year.,International,INR 56478,4 years,13th September 2025,Not Specified (likely Need-Based)
497,Bihar,Community Engineering Scholarship by Ambani Institute,Minority,500000,Medical,Engineering,the EWS category,58% in Class 12 or equivalent,Community Engineering Scholarship by Ambani Institute provides financial assistance to students in Minority category. The award amount is INR 129931 per year.,Private,INR 129931,2 years,8th July 2025,Not Specified (likely Need-Based)
498,Haryana,Global STEM Scholarship by Indian Science Society,Minority,1500000,Graduation,Graduation,the SC category,89% in Class 12 or equivalent,Global STEM Scholarship by Indian Science Society provides financial assistance to students in Minority category. The award amount is INR 64588 per year.,NGO,INR 64588,1 years,28th July 2025,Not Specified (likely Need-Based)
499,Karnataka,Merit Agriculture Scholarship by Ambani Institute,Minority,750000,Ph.D.,Engineering,the General category,64% in Class 12 or equivalent,Merit Agriculture Scholarship by Ambani Institute provides financial assistance to students in Minority category. The award amount is INR 124322 per year.,NGO,INR 124322,3 years,15th September 2025,Not Specified (likely Need-Based)
500,Karnataka,Innovation Medical Scholarship by Indian Science Society,SC,750000,Graduation,Diploma,the General category,64% in Class 12 or equivalent,Innovation Medical Scholarship by Indian Science Society provides financial assistance to students in SC category. The award amount is INR 16012 per year.,Corporate,INR 16012,3 years,21th September 2025,Not Specified (likely Need-Based)
501,Rajasthan,Innovation Economics Scholarship by Indian Education Trust,EWS,1000000,Graduation,Diploma,the Minority category,89% in Class 12 or equivalent,Innovation Economics Scholarship by Indian Education Trust provides financial assistance to students in EWS category. The award amount is INR 14908 per year.,International,INR 14908,4 years,16th September 2025,Not Specified (likely Need-Based)
502,West Bengal,Merit Literature Scholarship by Indian Government,EWS,1500000,Post-Graduation,Post-Graduation,the all category,73% in Class 12 or equivalent,Merit Literature Scholarship by Indian Government provides financial assistance to students in EWS category. The award amount is INR 56510 per year.,Government,INR 56510,4 years,23th September 2025,Not Specified (likely Need-Based)
503,Telangana,Diversity Literature Scholarship by Ambani Institute,EWS,1500000,Engineering,Diploma,the Minority category,66% in Class 12 or equivalent,Diversity Literature Scholarship by Ambani Institute provides financial assistance to students in EWS category. The award amount is INR 92686 per year.,Government,INR 92686,3 years,4th August 2025,Not Specified (likely Need-Based)
504,Rajasthan,Development Engineering Scholarship by JNU Research,OBC,1500000,Medical,Diploma,the OBC category,73% in Class 12 or equivalent,Development Engineering Scholarship by JNU Research provides financial assistance to students in OBC category. The award amount is INR 105690 per year.,Government,INR 105690,1 years,30th September 2025,Not Specified (likely Need-Based)
505,West Bengal,Innovation Entrepreneurship Scholarship by Ambani Institute,EWS,0,Ph.D.,Diploma,the SEBC category,77% in Class 12 or equivalent,Innovation Entrepreneurship Scholarship by Ambani Institute provides financial assistance to students in EWS category. The award amount is INR 98140 per year.,Corporate,INR 98140,3 years,23th August 2025,Not Specified (likely Need-Based)
506,Tamil Nadu,Excellence Social Sciences Scholarship by Bharti Enterprises,SEBC,1500000,Ph.D.,HSC,the all category,58% in Class 12 or equivalent,Excellence Social Sciences Scholarship by Bharti Enterprises provides financial assistance to students in SEBC category. The award amount is INR 62187 per year.,NGO,INR 62187,4 years,29th September 2025,Not Specified (likely Need-Based)
507,Bihar,Merit Arts Scholarship by Indian Government,EWS,500000,Medical,Medical,the EWS category,57% in Class 12 or equivalent,Merit Arts Scholarship by Indian Government provides financial assistance to students in EWS category. The award amount is INR 133228 per year.,Government,INR 133228,2 years,12th June 2025,Not Specified (likely Need-Based)
508,Haryana,Community Entrepreneurship Scholarship by Indian Science Society,OBC,500000,HSC,Ph,the SC category,58% in Class 12 or equivalent,Community Entrepreneurship Scholarship by Indian Science Society provides financial assistance to students in OBC category. The award amount is INR 97811 per year.,NGO,INR 97811,2 years,29th August 2025,Not Specified (likely Need-Based)
509,Haryana,Research Entrepreneurship Scholarship by Bharti Enterprises,ST,750000,Graduation,Engineering,the Minority category,62% in Class 12 or equivalent,Research Entrepreneurship Scholarship by Bharti Enterprises provides financial assistance to students in ST category. The award amount is INR 148264 per year.,NGO,INR 148264,2 years,28th September 2025,Not Specified (likely Need-Based)
510,Andhra Pradesh,Innovation Engineering Scholarship by Bharti Enterprises,OBC,750000,Post-Graduation,Engineering,the OBC category,78% in Class 12 or equivalent,Innovation Engineering Scholarship by Bharti Enterprises provides financial assistance to students in OBC category. The award amount is INR 69881 per year.,Government,INR 69881,2 years,5th September 2025,Not Specified (likely Need-Based)
511,West Bengal,Community Economics Scholarship by JNU Research,Minority,250000,Graduation,Ph,the SC category,77% in Class 12 or equivalent,Community Economics Scholarship by JNU Research provides financial assistance to students in Minority category. The award amount is INR 118956 per year.,NGO,INR 118956,3 years,22th June 2025,Not Specified (likely Need-Based)
512,Maharashtra,Merit Literature Scholarship by JNU Research,EWS,750000,Diploma,Medical,the SC category,62% in Class 12 or equivalent,Merit Literature Scholarship by JNU Research provides financial assistance to students in EWS category. The award amount is INR 110128 per year.,Private,INR 110128,2 years,13th July 2025,Not Specified (likely Need-Based)
513,Gujarat,Sustainability Agriculture Scholarship by Tata Foundation,EWS,750000,HSC,Post-Graduation,the ST category,73% in Class 12 or equivalent,Sustainability Agriculture Scholarship by Tata Foundation provides financial assistance to students in EWS category. The award amount is INR 12710 per year.,Private,INR 12710,4 years,5th September 2025,Not Specified (likely Need-Based)
514,Jharkhand,Diversity STEM Scholarship by Bharti Enterprises,all,1500000,HSC,Diploma,the Minority category,61% in Class 12 or equivalent,Diversity STEM Scholarship by Bharti Enterprises provides financial assistance to students in all category. The award amount is INR 77617 per year.,Corporate,INR 77617,2 years,25th July 2025,Not Specified (likely Need-Based)
515,Rajasthan,Empowerment Economics Scholarship by Bharti Enterprises,OBC,1000000,Ph.D.,Medical,the EWS category,65% in Class 12 or equivalent,Empowerment Economics Scholarship by Bharti Enterprises provides financial assistance to students in OBC category. The award amount is INR 30689 per year.,NGO,INR 30689,2 years,16th August 2025,Not Specified (likely Need-Based)
516,Uttarakhand,Leadership Social Sciences Scholarship by JNU Research,SEBC,1500000,Engineering,Engineering,the EWS category,89% in Class 12 or equivalent,Leadership Social Sciences Scholarship by JNU Research provides financial assistance to students in SEBC category. The award amount is INR 123246 per year.,International,INR 123246,1 years,2th August 2025,Not Specified (likely Need-Based)
517,Chhattisgarh,Merit Law Scholarship by JNU Research,all,0,Medical,HSC,the all category,63% in Class 12 or equivalent,Merit Law Scholarship by JNU Research provides financial assistance to students in all category. The award amount is INR 72058 per year.,Government,INR 72058,1 years,1th August 2025,Not Specified (likely Need-Based)
518,Haryana,Research Arts Scholarship by Ambani Institute,General,1500000,Medical,Ph,the all category,74% in Class 12 or equivalent,Research Arts Scholarship by Ambani Institute provides financial assistance to students in General category. The award amount is INR 66793 per year.,International,INR 66793,4 years,14th June 2025,Not Specified (likely Need-Based)
519,Assam,Empowerment Medical Scholarship by Indian Government,OBC,0,Medical,Engineering,the ST category,87% in Class 12 or equivalent,Empowerment Medical Scholarship by Indian Government provides financial assistance to students in OBC category. The award amount is INR 9930 per year.,Corporate,INR 9930,2 years,8th July 2025,Not Specified (likely Need-Based)
520,Jharkhand,Innovation Social Sciences Scholarship by Tata Foundation,OBC,750000,Engineering,Engineering,the SEBC category,85% in Class 12 or equivalent,Innovation Social Sciences Scholarship by Tata Foundation provides financial assistance to students in OBC category. The award amount is INR 107992 per year.,NGO,INR 107992,3 years,21th September 2025,Not Specified (likely Need-Based)
521,Punjab,Innovation STEM Scholarship by JNU Research,all,250000,HSC,Engineering,the General category,82% in Class 12 or equivalent,Innovation STEM Scholarship by JNU Research provides financial assistance to students in all category. The award amount is INR 71293 per year.,Corporate,INR 71293,1 years,30th August 2025,Not Specified (likely Need-Based)
522,Assam,Sustainability STEM Scholarship by IIT Foundation,ST,1500000,Medical,Post-Graduation,the OBC category,71% in Class 12 or equivalent,Sustainability STEM Scholarship by IIT Foundation provides financial assistance to students in ST category. The award amount is INR 69020 per year.,Corporate,INR 69020,1 years,7th July 2025,Not Specified (likely Need-Based)
523,Rajasthan,Sustainability Agriculture Scholarship by Indian Education Trust,Minority,1000000,Ph.D.,Medical,the General category,83% in Class 12 or equivalent,Sustainability Agriculture Scholarship by Indian Education Trust provides financial assistance to students in Minority category. The award amount is INR 122064 per year.,NGO,INR 122064,1 years,20th July 2025,Not Specified (likely Need-Based)
524,Karnataka,Excellence Law Scholarship by Bharti Enterprises,EWS,0,Graduation,HSC,the all category,73% in Class 12 or equivalent,Excellence Law Scholarship by Bharti Enterprises provides financial assistance to students in EWS category. The award amount is INR 134933 per year.,International,INR 134933,1 years,7th June 2025,Not Specified (likely Need-Based)
525,Uttarakhand,Merit Economics Scholarship by Bharti Enterprises,all,1000000,Post-Graduation,Diploma,the EWS category,56% in Class 12 or equivalent,Merit Economics Scholarship by Bharti Enterprises provides financial assistance to students in all category. The award amount is INR 13939 per year.,Private,INR 13939,2 years,30th June 2025,Not Specified (likely Need-Based)
526,Rajasthan,Leadership Agriculture Scholarship by JNU Research,SC,0,Ph.D.,Ph,the SEBC category,77% in Class 12 or equivalent,Leadership Agriculture Scholarship by JNU Research provides financial assistance to students in SC category. The award amount is INR 88553 per year.,Corporate,INR 88553,2 years,20th June 2025,Not Specified (likely Need-Based)
527,Kerala,Excellence Literature Scholarship by Bharti Enterprises,ST,750000,HSC,Engineering,the SC category,86% in Class 12 or equivalent,Excellence Literature Scholarship by Bharti Enterprises provides financial assistance to students in ST category. The award amount is INR 45659 per year.,Private,INR 45659,3 years,15th August 2025,Not Specified (likely Need-Based)
528,Assam,Empowerment Entrepreneurship Scholarship by Ambani Institute,General,750000,Engineering,Diploma,the OBC category,60% in Class 12 or equivalent,Empowerment Entrepreneurship Scholarship by Ambani Institute provides financial assistance to students in General category. The award amount is INR 113896 per year.,Government,INR 113896,3 years,17th August 2025,Not Specified (likely Need-Based)
529,Rajasthan,Merit Agriculture Scholarship by Indian Government,Minority,1500000,Engineering,Medical,the General category,78% in Class 12 or equivalent,Merit Agriculture Scholarship by Indian Government provides financial assistance to students in Minority category. The award amount is INR 81417 per year.,NGO,INR 81417,2 years,9th September 2025,Not Specified (likely Need-Based)
530,Chhattisgarh,Sustainability Law Scholarship by Dr. APJ Abdul Kalam Foundation,ST,0,Post-Graduation,Medical,the Minority category,54% in Class 12 or equivalent,Sustainability Law Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in ST category. The award amount is INR 19489 per year.,Private,INR 19489,2 years,30th August 2025,Not Specified (likely Need-Based)
531,Uttarakhand,Diversity Economics Scholarship by IIT Foundation,EWS,0,Medical,Diploma,the SC category,69% in Class 12 or equivalent,Diversity Economics Scholarship by IIT Foundation provides financial assistance to students in EWS category. The award amount is INR 130169 per year.,Private,INR 130169,2 years,11th June 2025,Not Specified (likely Need-Based)
532,West Bengal,Global Arts Scholarship by Dr. APJ Abdul Kalam Foundation,General,0,Engineering,HSC,the General category,68% in Class 12 or equivalent,Global Arts Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in General category. The award amount is INR 12657 per year.,NGO,INR 12657,2 years,2th July 2025,Not Specified (likely Need-Based)
533,Bihar,Sustainability Engineering Scholarship by IIT Foundation,EWS,1000000,Ph.D.,Diploma,the SC category,90% in Class 12 or equivalent,Sustainability Engineering Scholarship by IIT Foundation provides financial assistance to students in EWS category. The award amount is INR 19829 per year.,Corporate,INR 19829,2 years,7th August 2025,Not Specified (likely Need-Based)
534,Andhra Pradesh,Innovation Law Scholarship by Indian Education Trust,ST,1500000,Post-Graduation,Diploma,the EWS category,72% in Class 12 or equivalent,Innovation Law Scholarship by Indian Education Trust provides financial assistance to students in ST category. The award amount is INR 91727 per year.,NGO,INR 91727,4 years,1th June 2025,Not Specified (likely Need-Based)
535,Punjab,Youth Social Sciences Scholarship by Dr. APJ Abdul Kalam Foundation,OBC,1500000,Diploma,Post-Graduation,the all category,61% in Class 12 or equivalent,Youth Social Sciences Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in OBC category. The award amount is INR 140291 per year.,International,INR 140291,3 years,12th June 2025,Not Specified (likely Need-Based)
536,Karnataka,Leadership Medical Scholarship by Ambani Institute,OBC,1500000,Ph.D.,Graduation,the all category,84% in Class 12 or equivalent,Leadership Medical Scholarship by Ambani Institute provides financial assistance to students in OBC category. The award amount is INR 149998 per year.,Government,INR 149998,4 years,21th June 2025,Not Specified (likely Need-Based)
537,Haryana,Research Economics Scholarship by Bharti Enterprises,General,750000,Medical,Diploma,the OBC category,63% in Class 12 or equivalent,Research Economics Scholarship by Bharti Enterprises provides financial assistance to students in General category. The award amount is INR 15119 per year.,Corporate,INR 15119,2 years,27th August 2025,Not Specified (likely Need-Based)
